,TF-IDF,words,counts,occurance,postive_sentiment
0,0.7664298449085388,preservative,6,[],[0.095]
1,0.6423280258820045,microbial,18,"['2022-02-11', '2022-01-05']","[0.095, 0.084, 0.145, 0.157, 0.138, 0.118, 0.119, 0.124]"
2,0.0,biodegradability,2,[],[0.119]
3,0.0,igbts,6,['2022-01-05'],"[0.084, 0.157]"
4,0.0,ultraviolet,1,['2022-02-11'],[0.124]
5,0.0,shelflife,7,['2022-01-05'],"[0.145, 0.157, 0.118]"
6,0.0,recycling,1,[],[0.118]
7,0.0,polymer,14,['2022-02-11'],"[0.138, 0.118, 0.119, 0.124]"
8,0.0,petrochemical,1,[],[0.118]
9,0.0,nutritional,5,[],"[0.145, 0.118, 0.119]"
10,0.0,mosfets,6,['2022-01-05'],"[0.084, 0.157]"
11,0.0,mosfet,1,[],[0.084]
12,0.0,igbt,1,[],[0.084]
13,0.0,biodegradable,12,"['2022-02-11', '2022-01-05']","[0.145, 0.157, 0.138, 0.118, 0.119, 0.124]"
14,0.0,hydrogel,18,['2022-01-05'],"[0.157, 0.138]"
15,0.0,gelatin,3,['2022-01-05'],"[0.157, 0.138]"
16,0.0,foodpackaging,2,"['2022-02-11', '2022-01-05']","[0.157, 0.124]"
17,0.0,environmentally,9,['2022-02-11'],"[0.138, 0.118, 0.119, 0.124]"
18,0.0,chitosanbased,1,[],[0.119]
19,0.0,chitosanbase,1,[],[0.119]
20,0.0,chitosan,15,['2022-01-05'],"[0.157, 0.119]"
21,0.0,biopolymer,6,['2022-02-11'],"[0.118, 0.119, 0.124]"
22,0.0,biomolecule,7,['2022-01-05'],"[0.157, 0.119]"
23,0.0,biofilm,7,['2022-01-05'],"[0.145, 0.157]"
24,0.0,uv,5,['2022-02-11'],[0.124]
